miRNA,disease,preScore
hsa-mir-367,Alzheimer Disease,0.5397
hsa-mir-181b-1,Alzheimer Disease,0.5381
hsa-mir-574,Alzheimer Disease,0.538
hsa-mir-198,Alzheimer Disease,0.5346
hsa-mir-196a-1,Alzheimer Disease,0.5333
hsa-mir-499a,Alzheimer Disease,0.5323
hsa-mir-30c-2,Alzheimer Disease,0.5311
hsa-mir-373,Alzheimer Disease,0.5273
hsa-mir-495,Alzheimer Disease,0.5261
hsa-mir-30c-1,Alzheimer Disease,0.5254
hsa-mir-454,Alzheimer Disease,0.5252
hsa-mir-425,Alzheimer Disease,0.5248
hsa-mir-208a,Alzheimer Disease,0.5243
hsa-mir-338,Alzheimer Disease,0.5225
hsa-mir-24-2,Alzheimer Disease,0.5224
hsa-mir-18b,Alzheimer Disease,0.5222
hsa-mir-218-1,Alzheimer Disease,0.5214
hsa-mir-302a,Alzheimer Disease,0.5194
hsa-mir-187,Alzheimer Disease,0.5188
hsa-mir-185,Alzheimer Disease,0.5184
hsa-mir-449b,Alzheimer Disease,0.5161
hsa-mir-99b,Alzheimer Disease,0.5141
hsa-mir-138-2,Alzheimer Disease,0.5117
hsa-mir-377,Alzheimer Disease,0.5113
hsa-mir-650,Alzheimer Disease,0.5091
hsa-mir-218-2,Alzheimer Disease,0.5084
hsa-mir-302b,Alzheimer Disease,0.506
hsa-mir-484,Alzheimer Disease,0.5025
hsa-mir-138-1,Alzheimer Disease,0.5011
hsa-mir-362,Alzheimer Disease,0.501
hsa-mir-874,Alzheimer Disease,0.5
hsa-mir-744,Alzheimer Disease,0.4985
hsa-mir-491,Alzheimer Disease,0.4979
hsa-mir-422a,Alzheimer Disease,0.4976
hsa-mir-299,Alzheimer Disease,0.4975
hsa-mir-520a,Alzheimer Disease,0.4961
hsa-mir-485,Alzheimer Disease,0.4938
hsa-mir-506,Alzheimer Disease,0.4919
hsa-mir-331,Alzheimer Disease,0.4919
hsa-mir-376c,Alzheimer Disease,0.4912
hsa-mir-452,Alzheimer Disease,0.4907
hsa-mir-382,Alzheimer Disease,0.4906
hsa-mir-625,Alzheimer Disease,0.4899
hsa-mir-361,Alzheimer Disease,0.4893
hsa-mir-411,Alzheimer Disease,0.4883
hsa-mir-345,Alzheimer Disease,0.4838
hsa-mir-490,Alzheimer Disease,0.4837
hsa-mir-372,Alzheimer Disease,0.4821
hsa-mir-652,Alzheimer Disease,0.4801
hsa-mir-374a,Alzheimer Disease,0.4797
hsa-mir-421,Alzheimer Disease,0.4791
hsa-mir-1246,Alzheimer Disease,0.479
hsa-mir-202,Alzheimer Disease,0.4783
hsa-mir-301b,Alzheimer Disease,0.4779
hsa-mir-208b,Alzheimer Disease,0.4778
hsa-mir-1207,Alzheimer Disease,0.4773
hsa-mir-374b,Alzheimer Disease,0.4761
hsa-mir-502,Alzheimer Disease,0.4754
hsa-mir-302c,Alzheimer Disease,0.4744
hsa-mir-433,Alzheimer Disease,0.4732
hsa-mir-671,Alzheimer Disease,0.4732
hsa-mir-194-1,Alzheimer Disease,0.4727
hsa-mir-154,Alzheimer Disease,0.4711
hsa-mir-629,Alzheimer Disease,0.4695
hsa-mir-95,Alzheimer Disease,0.4683
hsa-mir-628,Alzheimer Disease,0.4681
hsa-mir-181d,Alzheimer Disease,0.4676
hsa-mir-135a-2,Alzheimer Disease,0.4663
hsa-mir-520d,Alzheimer Disease,0.4647
hsa-mir-1224,Alzheimer Disease,0.4644
hsa-mir-181a-1,Alzheimer Disease,0.4633
hsa-mir-487b,Alzheimer Disease,0.459
hsa-mir-194-2,Alzheimer Disease,0.4589
hsa-mir-135a-1,Alzheimer Disease,0.4575
hsa-mir-216b,Alzheimer Disease,0.4558
hsa-mir-1271,Alzheimer Disease,0.4555
hsa-mir-302d,Alzheimer Disease,0.4553
hsa-mir-504,Alzheimer Disease,0.4541
hsa-mir-519d,Alzheimer Disease,0.4537
hsa-mir-663a,Alzheimer Disease,0.4519
hsa-mir-379,Alzheimer Disease,0.4481
hsa-mir-543,Alzheimer Disease,0.4477
hsa-mir-431,Alzheimer Disease,0.4463
hsa-mir-211,Alzheimer Disease,0.4456
hsa-mir-300,Alzheimer Disease,0.4447
hsa-mir-129-2,Alzheimer Disease,0.443
hsa-mir-520c,Alzheimer Disease,0.4414
hsa-mir-1290,Alzheimer Disease,0.4404
hsa-mir-489,Alzheimer Disease,0.4403
hsa-mir-346,Alzheimer Disease,0.4388
hsa-mir-942,Alzheimer Disease,0.4377
hsa-mir-630,Alzheimer Disease,0.4373
hsa-mir-1247,Alzheimer Disease,0.4332
hsa-mir-765,Alzheimer Disease,0.4276
hsa-mir-520h,Alzheimer Disease,0.4266
hsa-mir-592,Alzheimer Disease,0.4255
hsa-mir-376a-2,Alzheimer Disease,0.424
hsa-mir-675,Alzheimer Disease,0.424
hsa-mir-517a,Alzheimer Disease,0.4232
hsa-mir-216a,Alzheimer Disease,0.4205
hsa-mir-584,Alzheimer Disease,0.4202
hsa-mir-539,Alzheimer Disease,0.4199
hsa-mir-513c,Alzheimer Disease,0.4197
hsa-mir-129-1,Alzheimer Disease,0.4194
hsa-mir-151b,Alzheimer Disease,0.4184
hsa-mir-939,Alzheimer Disease,0.417
hsa-mir-448,Alzheimer Disease,0.4164
hsa-mir-637,Alzheimer Disease,0.4161
hsa-mir-376a-1,Alzheimer Disease,0.4125
hsa-mir-493,Alzheimer Disease,0.4117
hsa-mir-1297,Alzheimer Disease,0.4101
hsa-mir-582,Alzheimer Disease,0.4089
hsa-mir-873,Alzheimer Disease,0.4082
hsa-mir-365b,Alzheimer Disease,0.408
hsa-mir-1228,Alzheimer Disease,0.4062
hsa-mir-520g,Alzheimer Disease,0.4046
hsa-mir-369,Alzheimer Disease,0.4041
hsa-mir-622,Alzheimer Disease,0.4034
hsa-mir-608,Alzheimer Disease,0.4029
hsa-mir-203a,Alzheimer Disease,0.4028
hsa-mir-298,Alzheimer Disease,0.4024
hsa-mir-337,Alzheimer Disease,0.402
hsa-mir-519c,Alzheimer Disease,0.401
hsa-mir-760,Alzheimer Disease,0.3977
hsa-mir-636,Alzheimer Disease,0.3971
hsa-mir-501,Alzheimer Disease,0.3962
hsa-mir-570,Alzheimer Disease,0.3937
hsa-mir-371a,Alzheimer Disease,0.3914
hsa-mir-616,Alzheimer Disease,0.3863
hsa-mir-526b,Alzheimer Disease,0.383
hsa-mir-665,Alzheimer Disease,0.3807
hsa-mir-576,Alzheimer Disease,0.3788
hsa-mir-940,Alzheimer Disease,0.3785
hsa-mir-513a-2,Alzheimer Disease,0.3746
hsa-mir-575,Alzheimer Disease,0.3743
hsa-mir-513a-1,Alzheimer Disease,0.3732
hsa-mir-660,Alzheimer Disease,0.3717
hsa-mir-524,Alzheimer Disease,0.3707
hsa-mir-1275,Alzheimer Disease,0.3703
hsa-mir-103b-1,Alzheimer Disease,0.3692
hsa-mir-500a,Alzheimer Disease,0.367
hsa-mir-646,Alzheimer Disease,0.3645
hsa-mir-488,Alzheimer Disease,0.3619
hsa-mir-612,Alzheimer Disease,0.3593
hsa-mir-384,Alzheimer Disease,0.3578
hsa-mir-595,Alzheimer Disease,0.3545
hsa-mir-302f,Alzheimer Disease,0.3531
hsa-mir-661,Alzheimer Disease,0.3519
hsa-mir-550a-2,Alzheimer Disease,0.3465
hsa-mir-1258,Alzheimer Disease,0.346
hsa-mir-508,Alzheimer Disease,0.3447
hsa-mir-572,Alzheimer Disease,0.3419
hsa-mir-103b-2,Alzheimer Disease,0.3415
hsa-mir-516a-1,Alzheimer Disease,0.3412
hsa-mir-610,Alzheimer Disease,0.3408
hsa-mir-518b,Alzheimer Disease,0.3406
hsa-mir-767,Alzheimer Disease,0.3401
hsa-mir-642a,Alzheimer Disease,0.3393
hsa-mir-1236,Alzheimer Disease,0.3356
hsa-mir-1225,Alzheimer Disease,0.3352
hsa-mir-1908,Alzheimer Disease,0.3335
hsa-mir-520f,Alzheimer Disease,0.3302
hsa-mir-378g,Alzheimer Disease,0.3297
hsa-mir-1307,Alzheimer Disease,0.3274
hsa-mir-510,Alzheimer Disease,0.3269
hsa-mir-655,Alzheimer Disease,0.3266
hsa-mir-758,Alzheimer Disease,0.3258
hsa-mir-550a-1,Alzheimer Disease,0.3257
hsa-mir-579,Alzheimer Disease,0.3254
hsa-mir-1303,Alzheimer Disease,0.3235
hsa-mir-380,Alzheimer Disease,0.3234
hsa-mir-615,Alzheimer Disease,0.3212
hsa-mir-573,Alzheimer Disease,0.3202
hsa-mir-589,Alzheimer Disease,0.3187
hsa-mir-320e,Alzheimer Disease,0.3186
hsa-mir-1301,Alzheimer Disease,0.3183
hsa-mir-297,Alzheimer Disease,0.3158
hsa-mir-519e,Alzheimer Disease,0.3148
hsa-mir-571,Alzheimer Disease,0.3133
hsa-mir-718,Alzheimer Disease,0.3125
hsa-mir-518e,Alzheimer Disease,0.3122
hsa-mir-492,Alzheimer Disease,0.3119
hsa-mir-3151,Alzheimer Disease,0.3104
hsa-mir-627,Alzheimer Disease,0.3085
hsa-mir-1227,Alzheimer Disease,0.3083
hsa-mir-603,Alzheimer Disease,0.3081
hsa-mir-522,Alzheimer Disease,0.3081
hsa-mir-601,Alzheimer Disease,0.3033
hsa-mir-1296,Alzheimer Disease,0.3031
hsa-mir-1287,Alzheimer Disease,0.3029
hsa-mir-378i,Alzheimer Disease,0.3017
hsa-mir-376b,Alzheimer Disease,0.3013
hsa-mir-525,Alzheimer Disease,0.3011
hsa-mir-888,Alzheimer Disease,0.3006
hsa-mir-378f,Alzheimer Disease,0.2989
hsa-mir-561,Alzheimer Disease,0.298
hsa-mir-4521,Alzheimer Disease,0.2961
hsa-mir-147a,Alzheimer Disease,0.296
hsa-mir-577,Alzheimer Disease,0.2955
hsa-mir-512-2,Alzheimer Disease,0.2955
hsa-mir-1269a,Alzheimer Disease,0.2929
hsa-mir-4732,Alzheimer Disease,0.2916
hsa-mir-3189,Alzheimer Disease,0.2913
hsa-mir-1299,Alzheimer Disease,0.2911
hsa-mir-618,Alzheimer Disease,0.2904
hsa-mir-769,Alzheimer Disease,0.2903
hsa-mir-557,Alzheimer Disease,0.2902
hsa-mir-203b,Alzheimer Disease,0.2895
hsa-mir-378c,Alzheimer Disease,0.2889
hsa-mir-877,Alzheimer Disease,0.2884
hsa-mir-647,Alzheimer Disease,0.2877
hsa-mir-378d-2,Alzheimer Disease,0.287
hsa-mir-645,Alzheimer Disease,0.2867
hsa-mir-516b-2,Alzheimer Disease,0.2864
hsa-mir-605,Alzheimer Disease,0.2847
hsa-mir-325,Alzheimer Disease,0.2846
hsa-mir-639,Alzheimer Disease,0.2835
hsa-mir-1202,Alzheimer Disease,0.2825
hsa-mir-1179,Alzheimer Disease,0.2808
hsa-mir-378d-1,Alzheimer Disease,0.28
hsa-mir-378h,Alzheimer Disease,0.2779
hsa-mir-302e,Alzheimer Disease,0.2776
hsa-mir-4306,Alzheimer Disease,0.2767
hsa-mir-1825,Alzheimer Disease,0.2751
hsa-mir-378e,Alzheimer Disease,0.275
hsa-mir-516a-2,Alzheimer Disease,0.2737
hsa-mir-519b,Alzheimer Disease,0.2735
hsa-mir-598,Alzheimer Disease,0.2732
hsa-mir-323b,Alzheimer Disease,0.2723
hsa-mir-2110,Alzheimer Disease,0.271
hsa-mir-663b,Alzheimer Disease,0.271
hsa-mir-4466,Alzheimer Disease,0.2707
hsa-mir-1291,Alzheimer Disease,0.2706
hsa-mir-1226,Alzheimer Disease,0.2692
hsa-mir-552,Alzheimer Disease,0.2688
hsa-mir-320b-2,Alzheimer Disease,0.2665
hsa-mir-4739,Alzheimer Disease,0.266
hsa-mir-1915,Alzheimer Disease,0.2658
hsa-mir-624,Alzheimer Disease,0.2625
hsa-mir-761,Alzheimer Disease,0.262
hsa-mir-513b,Alzheimer Disease,0.2615
hsa-mir-1181,Alzheimer Disease,0.2612
hsa-mir-320c-2,Alzheimer Disease,0.2592
hsa-mir-6875,Alzheimer Disease,0.2589
hsa-mir-548c,Alzheimer Disease,0.2572
hsa-mir-515-2,Alzheimer Disease,0.257
hsa-mir-517c,Alzheimer Disease,0.2565
hsa-mir-4731,Alzheimer Disease,0.2559
hsa-mir-3200,Alzheimer Disease,0.2553
hsa-mir-1266,Alzheimer Disease,0.2543
hsa-mir-544b,Alzheimer Disease,0.2539
hsa-mir-634,Alzheimer Disease,0.2532
hsa-mir-548d-1,Alzheimer Disease,0.2518
hsa-mir-1231,Alzheimer Disease,0.2517
hsa-mir-3178,Alzheimer Disease,0.2491
hsa-mir-3613,Alzheimer Disease,0.249
hsa-mir-3126,Alzheimer Disease,0.2489
hsa-mir-5100,Alzheimer Disease,0.2477
hsa-mir-518c,Alzheimer Disease,0.2475
hsa-mir-320b-1,Alzheimer Disease,0.2466
hsa-mir-23c,Alzheimer Disease,0.2461
hsa-mir-515-1,Alzheimer Disease,0.2455
hsa-mir-516b-1,Alzheimer Disease,0.2453
hsa-mir-1305,Alzheimer Disease,0.244
hsa-mir-507,Alzheimer Disease,0.2438
hsa-mir-4317,Alzheimer Disease,0.2435
hsa-mir-551b,Alzheimer Disease,0.2423
hsa-mir-3127,Alzheimer Disease,0.2418
hsa-mir-412,Alzheimer Disease,0.241
hsa-mir-1180,Alzheimer Disease,0.2398
hsa-mir-892a,Alzheimer Disease,0.2398
hsa-mir-944,Alzheimer Disease,0.2392
hsa-mir-4634,Alzheimer Disease,0.2392
hsa-mir-4706,Alzheimer Disease,0.2392
hsa-mir-644a,Alzheimer Disease,0.239
hsa-mir-4723,Alzheimer Disease,0.2372
hsa-mir-1282,Alzheimer Disease,0.2369
hsa-mir-5003,Alzheimer Disease,0.2351
hsa-mir-544a,Alzheimer Disease,0.2343
hsa-mir-657,Alzheimer Disease,0.2338
hsa-mir-4728,Alzheimer Disease,0.2338
hsa-mir-541,Alzheimer Disease,0.2338
hsa-mir-632,Alzheimer Disease,0.2337
hsa-mir-4295,Alzheimer Disease,0.2326
hsa-mir-512-1,Alzheimer Disease,0.2325
hsa-mir-1469,Alzheimer Disease,0.2324
hsa-mir-635,Alzheimer Disease,0.2318
hsa-mir-514b,Alzheimer Disease,0.2313
hsa-mir-4775,Alzheimer Disease,0.2313
hsa-mir-578,Alzheimer Disease,0.231
hsa-mir-1265,Alzheimer Disease,0.231
hsa-mir-564,Alzheimer Disease,0.2307
hsa-mir-567,Alzheimer Disease,0.23
hsa-mir-4301,Alzheimer Disease,0.2299
hsa-mir-597,Alzheimer Disease,0.2293
hsa-mir-4258,Alzheimer Disease,0.2292
hsa-mir-1238,Alzheimer Disease,0.2286
hsa-mir-451b,Alzheimer Disease,0.2284
hsa-mir-2861,Alzheimer Disease,0.2283
hsa-mir-4516,Alzheimer Disease,0.2276
hsa-mir-4697,Alzheimer Disease,0.2271
hsa-mir-654,Alzheimer Disease,0.2261
hsa-mir-1281,Alzheimer Disease,0.2261
hsa-mir-3065,Alzheimer Disease,0.2257
hsa-mir-938,Alzheimer Disease,0.2255
hsa-mir-802,Alzheimer Disease,0.2252
hsa-mir-4319,Alzheimer Disease,0.2251
hsa-mir-3619,Alzheimer Disease,0.2248
hsa-mir-935,Alzheimer Disease,0.2248
hsa-mir-4286,Alzheimer Disease,0.2242
hsa-mir-1260b,Alzheimer Disease,0.2242
hsa-mir-320c-1,Alzheimer Disease,0.2241
hsa-mir-548d-2,Alzheimer Disease,0.2231
hsa-mir-499b,Alzheimer Disease,0.2231
hsa-mir-1292,Alzheimer Disease,0.2225
hsa-mir-933,Alzheimer Disease,0.2223
hsa-mir-509-3,Alzheimer Disease,0.2222
hsa-mir-1304,Alzheimer Disease,0.2221
hsa-mir-5193,Alzheimer Disease,0.2218
hsa-mir-4282,Alzheimer Disease,0.2217
hsa-mir-1260a,Alzheimer Disease,0.2213
hsa-mir-523,Alzheimer Disease,0.2203
hsa-mir-4469,Alzheimer Disease,0.2201
hsa-mir-1268a,Alzheimer Disease,0.2195
hsa-mir-4518,Alzheimer Disease,0.2195
hsa-mir-548ac,Alzheimer Disease,0.2193
hsa-mir-599,Alzheimer Disease,0.2184
hsa-mir-1298,Alzheimer Disease,0.2174
hsa-mir-518a-2,Alzheimer Disease,0.2174
hsa-mir-4455,Alzheimer Disease,0.2153
hsa-mir-643,Alzheimer Disease,0.215
hsa-mir-4782,Alzheimer Disease,0.2148
hsa-mir-1248,Alzheimer Disease,0.2148
hsa-mir-3960,Alzheimer Disease,0.2141
hsa-mir-1538,Alzheimer Disease,0.2128
hsa-mir-1973,Alzheimer Disease,0.2123
hsa-mir-648,Alzheimer Disease,0.2122
hsa-mir-519a-1,Alzheimer Disease,0.2122
hsa-mir-651,Alzheimer Disease,0.211
hsa-mir-371b,Alzheimer Disease,0.2107
hsa-mir-4281,Alzheimer Disease,0.21
hsa-mir-1273c,Alzheimer Disease,0.2097
hsa-mir-7847,Alzheimer Disease,0.2087
hsa-mir-3162,Alzheimer Disease,0.2085
hsa-mir-6780b,Alzheimer Disease,0.2065
hsa-mir-496,Alzheimer Disease,0.206
hsa-mir-1249,Alzheimer Disease,0.2051
hsa-mir-3666,Alzheimer Disease,0.2048
hsa-mir-3175,Alzheimer Disease,0.2048
hsa-mir-450a-1,Alzheimer Disease,0.2047
hsa-mir-1306,Alzheimer Disease,0.2039
hsa-mir-1914,Alzheimer Disease,0.2035
hsa-mir-5004,Alzheimer Disease,0.2035
hsa-mir-762,Alzheimer Disease,0.2032
hsa-mir-602,Alzheimer Disease,0.2032
hsa-mir-631,Alzheimer Disease,0.2029
hsa-mir-1288,Alzheimer Disease,0.2025
hsa-mir-876,Alzheimer Disease,0.2013
hsa-mir-6798,Alzheimer Disease,0.2009
hsa-mir-4298,Alzheimer Disease,0.2008
hsa-mir-6124,Alzheimer Disease,0.2003
hsa-mir-620,Alzheimer Disease,0.1998
hsa-mir-640,Alzheimer Disease,0.1995
hsa-mir-4764,Alzheimer Disease,0.199
hsa-mir-548j,Alzheimer Disease,0.199
hsa-mir-617,Alzheimer Disease,0.1987
hsa-mir-658,Alzheimer Disease,0.1982
hsa-mir-329-1,Alzheimer Disease,0.1979
hsa-mir-2355,Alzheimer Disease,0.1977
hsa-mir-600,Alzheimer Disease,0.1973
hsa-mir-621,Alzheimer Disease,0.1972
hsa-mir-466,Alzheimer Disease,0.1967
hsa-mir-604,Alzheimer Disease,0.1966
hsa-mir-943,Alzheimer Disease,0.1962
hsa-mir-518d,Alzheimer Disease,0.1951
hsa-mir-3658,Alzheimer Disease,0.1949
hsa-mir-668,Alzheimer Disease,0.1945
hsa-mir-548t,Alzheimer Disease,0.1941
hsa-mir-1471,Alzheimer Disease,0.1936
hsa-mir-4449,Alzheimer Disease,0.1935
hsa-mir-4443,Alzheimer Disease,0.1925
hsa-mir-548an,Alzheimer Disease,0.192
hsa-mir-1229,Alzheimer Disease,0.1914
hsa-mir-1233-2,Alzheimer Disease,0.1913
hsa-mir-1267,Alzheimer Disease,0.1905
hsa-mir-3149,Alzheimer Disease,0.19
hsa-mir-449c,Alzheimer Disease,0.1881
hsa-mir-1827,Alzheimer Disease,0.1878
hsa-mir-2116,Alzheimer Disease,0.1877
hsa-mir-6852,Alzheimer Disease,0.1875
hsa-mir-614,Alzheimer Disease,0.1874
hsa-mir-591,Alzheimer Disease,0.1874
hsa-mir-4284,Alzheimer Disease,0.1873
hsa-mir-3182,Alzheimer Disease,0.1871
hsa-mir-711,Alzheimer Disease,0.1868
hsa-mir-920,Alzheimer Disease,0.1867
hsa-mir-4262,Alzheimer Disease,0.1864
hsa-mir-1268b,Alzheimer Disease,0.1863
hsa-mir-1253,Alzheimer Disease,0.1859
hsa-mir-3662,Alzheimer Disease,0.1855
hsa-mir-3120,Alzheimer Disease,0.1854
hsa-mir-3940,Alzheimer Disease,0.1853
hsa-mir-1468,Alzheimer Disease,0.1847
hsa-mir-518a-1,Alzheimer Disease,0.1843
hsa-mir-4644,Alzheimer Disease,0.1842
hsa-mir-450b,Alzheimer Disease,0.1839
hsa-mir-558,Alzheimer Disease,0.1835
hsa-mir-4270,Alzheimer Disease,0.1834
hsa-mir-3915,Alzheimer Disease,0.1831
hsa-mir-1184-1,Alzheimer Disease,0.1829
hsa-mir-1285-2,Alzheimer Disease,0.1829
hsa-mir-586,Alzheimer Disease,0.1823
hsa-mir-514a-1,Alzheimer Disease,0.1816
hsa-mir-450a-2,Alzheimer Disease,0.1816
hsa-mir-3144,Alzheimer Disease,0.1814
hsa-mir-548l,Alzheimer Disease,0.1807
hsa-mir-5582,Alzheimer Disease,0.1796
hsa-mir-3148,Alzheimer Disease,0.1795
hsa-mir-4326,Alzheimer Disease,0.1792
hsa-mir-4447,Alzheimer Disease,0.1788
hsa-mir-105-2,Alzheimer Disease,0.1786
hsa-mir-329-2,Alzheimer Disease,0.1784
hsa-mir-3663,Alzheimer Disease,0.1784
hsa-mir-550a-3,Alzheimer Disease,0.1779
hsa-mir-1343,Alzheimer Disease,0.1778
hsa-mir-921,Alzheimer Disease,0.1772
hsa-mir-509-1,Alzheimer Disease,0.1765
hsa-mir-3196,Alzheimer Disease,0.1755
hsa-mir-551a,Alzheimer Disease,0.1752
hsa-mir-770,Alzheimer Disease,0.1739
hsa-mir-3117,Alzheimer Disease,0.1735
hsa-mir-2278,Alzheimer Disease,0.1733
hsa-mir-3677,Alzheimer Disease,0.1726
hsa-mir-4291,Alzheimer Disease,0.1724
hsa-mir-4487,Alzheimer Disease,0.1723
hsa-mir-649,Alzheimer Disease,0.1721
hsa-mir-581,Alzheimer Disease,0.172
hsa-mir-7706,Alzheimer Disease,0.1719
hsa-mir-6126,Alzheimer Disease,0.1716
hsa-mir-1256,Alzheimer Disease,0.1713
hsa-mir-4302,Alzheimer Disease,0.1712
hsa-mir-2909,Alzheimer Disease,0.1712
hsa-mir-587,Alzheimer Disease,0.1704
hsa-mir-1295b,Alzheimer Disease,0.17
hsa-mir-7161,Alzheimer Disease,0.1699
hsa-mir-875,Alzheimer Disease,0.1695
hsa-mir-3682,Alzheimer Disease,0.1694
hsa-mir-1286,Alzheimer Disease,0.1694
hsa-mir-320d-1,Alzheimer Disease,0.1691
hsa-mir-1245a,Alzheimer Disease,0.1684
hsa-mir-626,Alzheimer Disease,0.1681
hsa-mir-3976,Alzheimer Disease,0.1676
hsa-mir-3611,Alzheimer Disease,0.1669
hsa-mir-3163,Alzheimer Disease,0.1666
hsa-mir-1285-1,Alzheimer Disease,0.166
hsa-mir-509-2,Alzheimer Disease,0.1654
hsa-mir-764,Alzheimer Disease,0.1653
hsa-mir-1323,Alzheimer Disease,0.1651
hsa-mir-4500,Alzheimer Disease,0.1642
hsa-mir-892b,Alzheimer Disease,0.164
hsa-mir-1277,Alzheimer Disease,0.1639
hsa-mir-4746,Alzheimer Disease,0.1638
hsa-mir-4463,Alzheimer Disease,0.1636
hsa-mir-1245b,Alzheimer Disease,0.1635
hsa-mir-1182,Alzheimer Disease,0.163
hsa-mir-105-1,Alzheimer Disease,0.1627
hsa-mir-585,Alzheimer Disease,0.1624
hsa-mir-6867,Alzheimer Disease,0.162
