circRNA,disease,preScore
hsa_circ_0100213,Colorectal cancer,0.562
hsa_circ_0075930,Colorectal cancer,0.5607
circ_0057558,Colorectal cancer,0.5604
hsa_circ_0000658,Colorectal cancer,0.5598
hsa_circ_0000502,Colorectal cancer,0.5593
hsa_circ_0021254,Colorectal cancer,0.5587
hsa_circ_0055625,Colorectal cancer,0.5586
circ_0020710,Colorectal cancer,0.5582
hsa_circ_0066659,Colorectal cancer,0.5577
hsa_circ_0061259,Colorectal cancer,0.5575
hsa_circ_0015260,Colorectal cancer,0.5571
hsa_circ_0000592,Colorectal cancer,0.5571
hsa_circ_0041124,Colorectal cancer,0.5569
hsa_circ_0006772,Colorectal cancer,0.5568
hsa_circ_0044722,Colorectal cancer,0.5567
hsa_circ_0000080,Colorectal cancer,0.5562
hsa_circ_0007611,Colorectal cancer,0.556
circ_0018064,Colorectal cancer,0.5553
hsa_circ_0025580,Colorectal cancer,0.5546
hsa_circ_0026359,Colorectal cancer,0.5546
hsa_circ_0076906,Colorectal cancer,0.554
hsa_circ_0079876,Colorectal cancer,0.554
circ_0081143,Colorectal cancer,0.5539
hsa_circ_0089378,Colorectal cancer,0.5533
hsa_circ_0126991,Colorectal cancer,0.5531
hsa_circ_0001543,Colorectal cancer,0.5526
hsa_circ_0008172,Colorectal cancer,0.5519
hsa_circ_0002142,Colorectal cancer,0.5513
hsa_circ_0011269,Colorectal cancer,0.5513
hsa_circ_0008068,Colorectal cancer,0.5512
hsa_circ_0092233,Colorectal cancer,0.5512
hsa_circ_0004050,Colorectal cancer,0.5509
hsa_circ_0005615,Colorectal cancer,0.5508
hsa_circ_0004870,Colorectal cancer,0.5505
hsa_circ_0061395,Colorectal cancer,0.5505
hsa_circ_0015879,Colorectal cancer,0.5504
hsa_circ_0064428,Colorectal cancer,0.5503
hsa_circ_0000079,Colorectal cancer,0.55
hsa_circ_0000442,Colorectal cancer,0.55
hsa_circ_0008043,Colorectal cancer,0.5498
hsa_circ_0000798,Colorectal cancer,0.5495
hsa_circ_0110102,Colorectal cancer,0.549
circ_0061395,Colorectal cancer,0.549
circ_0084043,Colorectal cancer,0.5484
hsa_circ_0027345,Colorectal cancer,0.5475
hsa_circ_0085020,Colorectal cancer,0.5475
hsa_circ_0006460,Colorectal cancer,0.5472
hsa_circ_0136959,Colorectal cancer,0.5467
hsa_circ_0001098,Colorectal cancer,0.5466
hsa_circ_0000423,Colorectal cancer,0.5461
hsa_circ_0020007,Colorectal cancer,0.546
circ_0076305,Colorectal cancer,0.5456
hsa_circ_0100891,Colorectal cancer,0.5456
hsa_circ_0037658,Colorectal cancer,0.5452
hsa_circ_0002316,Colorectal cancer,0.5451
hsa_circ_0079891,Colorectal cancer,0.5447
hsa_circ_0068669,Colorectal cancer,0.5446
hsa_circ_0054652,Colorectal cancer,0.5435
hsa_circ_0063526,Colorectal cancer,0.5435
hsa_circ_0064451,Colorectal cancer,0.5432
hsa_circ_0070401,Colorectal cancer,0.5431
hsa_circ_0081162,Colorectal cancer,0.5428
hsa_circ_0098964,Colorectal cancer,0.5421
hsa_circ_0000039,Colorectal cancer,0.5421
hsa_circ_0042261,Colorectal cancer,0.542
hsa_circ_0011021,Colorectal cancer,0.5412
circ_0037923,Colorectal cancer,0.5411
hsa_circ_0082002,Colorectal cancer,0.5405
circ_0014130,Colorectal cancer,0.5405
hsa_circ_0074026,Colorectal cancer,0.5402
hsa_circ_0020594,Colorectal cancer,0.5395
hsa_circ_0048856,Colorectal cancer,0.5389
hsa_circ_0096157,Colorectal cancer,0.5385
hsa_circ_0025508,Colorectal cancer,0.538
hsa_circ_0007535,Colorectal cancer,0.5377
hsa_circ_0001022,Colorectal cancer,0.5377
hsa_circ_0033079,Colorectal cancer,0.5375
hsa_circ_0012721,Colorectal cancer,0.5374
hsa_circ_0002052,Colorectal cancer,0.5366
hsa_circ_0001687,Colorectal cancer,0.5365
circ_0028171,Colorectal cancer,0.536
hsa_circ_0058107,Colorectal cancer,0.5354
hsa_circ_0029853,Colorectal cancer,0.5353
hsa_circ_0030586,Colorectal cancer,0.5352
hsa_circ_0069767,Colorectal cancer,0.5351
circ_003172,Colorectal cancer,0.5342
hsa_circ_0079929,Colorectal cancer,0.533
hsa_circ_0029633,Colorectal cancer,0.5321
hsa_circ_0088442,Colorectal cancer,0.5321
hsa_circ_0088196,Colorectal cancer,0.532
hsa_circ_0062582,Colorectal cancer,0.532
hsa_circ_0005379,Colorectal cancer,0.5315
hsa_circ_0087391,Colorectal cancer,0.5313
hsa_circ_0079993,Colorectal cancer,0.531
hsa_circ_0056836,Colorectal cancer,0.5304
hsa_circ_0003586,Colorectal cancer,0.5298
hsa_circ_0001320,Colorectal cancer,0.5292
hsa_circ_0000177,Colorectal cancer,0.5286
hsa_circ_0078602,Colorectal cancer,0.5281
hsa_circ_0030042,Colorectal cancer,0.5279
hsa_circ_0069234,Colorectal cancer,0.5279
hsa_circ_0100929,Colorectal cancer,0.5274
hsa_circ_0004826,Colorectal cancer,0.5271
hsa_circ_0032970,Colorectal cancer,0.5269
hsa_circ_0011292,Colorectal cancer,0.5267
hsa_circ_0001192,Colorectal cancer,0.5262
hsa_circ_0065404,Colorectal cancer,0.5261
hsa_circ_0103232,Colorectal cancer,0.5258
hsa_circ_0049658,Colorectal cancer,0.5255
hsa_circ_001587,Colorectal cancer,0.5252
hsa_circ_0085019,Colorectal cancer,0.525
hsa_circ_0030055,Colorectal cancer,0.5247
circ_0072088,Colorectal cancer,0.524
hsa_circ_0016624,Colorectal cancer,0.5239
hsa_circ_0082081,Colorectal cancer,0.5224
hsa_circ_0002570,Colorectal cancer,0.5222
hsa_circ_0081047,Colorectal cancer,0.5218
hsa_circ_0038467,Colorectal cancer,0.5218
hsa_circ_0006260,Colorectal cancer,0.5216
hsa_circ_0001756,Colorectal cancer,0.5214
hsa_circ_0062705,Colorectal cancer,0.5213
circ_0015756,Colorectal cancer,0.5205
hsa_circ_0068871,Colorectal cancer,0.5201
hsa_circ_0002484,Colorectal cancer,0.5201
hsa_circ_0013520,Colorectal cancer,0.5199
hsa_circ_008389,Colorectal cancer,0.5198
circ_0000629,Colorectal cancer,0.5194
hsa_circ_0001326,Colorectal cancer,0.5194
hsa_circ_0000147,Colorectal cancer,0.5194
hsa_circ_0054659,Colorectal cancer,0.5191
circ_001430,Colorectal cancer,0.519
circ_0007766,Colorectal cancer,0.5181
hsa_circ_0026388,Colorectal cancer,0.5174
hsa_circ_0058063,Colorectal cancer,0.5173
hsa_circ_0109320,Colorectal cancer,0.5169
hsa_circ_0132266,Colorectal cancer,0.5165
circ_0058063,Colorectal cancer,0.5163
hsa_circ_0066077,Colorectal cancer,0.5151
hsa_circ_0091570,Colorectal cancer,0.5151
hsa_circ_0092221,Colorectal cancer,0.515
hsa_circ_0088364,Colorectal cancer,0.515
circ_0051398,Colorectal cancer,0.515
hsa_circ_0001742,Colorectal cancer,0.5147
hsa_circ_0001386,Colorectal cancer,0.5141
circ_0000735,Colorectal cancer,0.5138
hsa_circ_0005540,Colorectal cancer,0.5131
hsa_circ_0087432,Colorectal cancer,0.5131
hsa_circ_0134944,Colorectal cancer,0.5124
hsa_circ_0133460,Colorectal cancer,0.5124
hsa_circ_0005603,Colorectal cancer,0.5119
hsa_circ_0131242,Colorectal cancer,0.5118
hsa_circ_0000650,Colorectal cancer,0.5112
hsa_circ_0000069,Colorectal cancer,0.5108
hsa_circ_0082582,Colorectal cancer,0.5102
hsa_circ_0057518,Colorectal cancer,0.5101
hsa_circ_0006411,Colorectal cancer,0.51
hsa_circ_0064557,Colorectal cancer,0.5099
hsa_circ_0021001,Colorectal cancer,0.5096
hsa_circ_0000264,Colorectal cancer,0.5093
hsa_circ_0101868,Colorectal cancer,0.5091
hsa_circ_0026231,Colorectal cancer,0.5084
hsa_circ_0019340,Colorectal cancer,0.5083
hsa_circ_0088233,Colorectal cancer,0.5082
hsa_circ_0015729,Colorectal cancer,0.5081
hsa_circ_0091017,Colorectal cancer,0.508
hsa_circ_0008667,Colorectal cancer,0.5074
hsa_circ_0004520,Colorectal cancer,0.5073
hsa_circ_0076535,Colorectal cancer,0.5073
circ_001215,Colorectal cancer,0.5072
hsa_circ_0001394,Colorectal cancer,0.5067
hsa_circ_0030569,Colorectal cancer,0.5066
hsa_circ_0001387,Colorectal cancer,0.5061
circ_0021093,Colorectal cancer,0.5055
hsa_circ_0019069,Colorectal cancer,0.5048
hsa_circ_0055724,Colorectal cancer,0.5048
hsa_circ_0007364,Colorectal cancer,0.5048
hsa_circ_0003570,Colorectal cancer,0.5047
hsa_circ_0060060,Colorectal cancer,0.5042
hsa_circ_0001955,Colorectal cancer,0.504
hsa_circ_0031242,Colorectal cancer,0.5039
hsa_circ_0001085,Colorectal cancer,0.5039
hsa_circ_0087064,Colorectal cancer,0.503
hsa_circ_0003176,Colorectal cancer,0.5025
hsa_circ_0008532,Colorectal cancer,0.5019
hsa_circ_0000073,Colorectal cancer,0.5018
circ_0021789,Colorectal cancer,0.5014
hsa_circ_0038632,Colorectal cancer,0.5001
hsa_circ_0130438,Colorectal cancer,0.4998
hsa_circ_0000714,Colorectal cancer,0.4996
hsa_circ_0023903,Colorectal cancer,0.4995
hsa_circ_0007203,Colorectal cancer,0.4994
hsa_circ_0082688,Colorectal cancer,0.499
hsa_circ_0001346,Colorectal cancer,0.4988
hsa_circ_0003732,Colorectal cancer,0.4988
hsa_circ_0102958,Colorectal cancer,0.4981
hsa_circ_0076979,Colorectal cancer,0.4972
hsa_circ_0000247,Colorectal cancer,0.4969
hsa_circ_0127621,Colorectal cancer,0.4964
hsa_circ_0003855,Colorectal cancer,0.4964
hsa_circ_0001953,Colorectal cancer,0.4955
hsa_circ_0006401,Colorectal cancer,0.4947
hsa_circ_0023303,Colorectal cancer,0.4947
hsa_circ_0069131,Colorectal cancer,0.4947
hsa_circ_0093390,Colorectal cancer,0.4946
circ_0089153,Colorectal cancer,0.4945
hsa_circ_0110251,Colorectal cancer,0.4943
hsa_circ_0100181,Colorectal cancer,0.4943
hsa_circ_0040705,Colorectal cancer,0.4943
hsa_circ_0001564,Colorectal cancer,0.4939
hsa_circ_0040060,Colorectal cancer,0.4926
hsa_circ_0023110,Colorectal cancer,0.4924
circ_0000502,Colorectal cancer,0.4924
hsa_circ_0038262,Colorectal cancer,0.4919
hsa_circ_0043265,Colorectal cancer,0.4914
hsa_circ_0017728,Colorectal cancer,0.4913
hsa_circ_0028883,Colorectal cancer,0.4911
hsa_circ_0009172,Colorectal cancer,0.4908
circ_0005779,Colorectal cancer,0.4905
hsa_circ_0006873,Colorectal cancer,0.4901
hsa_circ_0029407,Colorectal cancer,0.49
hsa_circ_0072215,Colorectal cancer,0.4899
hsa_circ_0003288,Colorectal cancer,0.4899
hsa_circ_0001724,Colorectal cancer,0.4895
hsa_circ_0049220,Colorectal cancer,0.4892
hsa_circ_0087377,Colorectal cancer,0.4885
hsa_circ_0092256,Colorectal cancer,0.488
hsa_circ_0001772,Colorectal cancer,0.4879
hsa_circ_0008792,Colorectal cancer,0.4876
hsa_circ_0001141,Colorectal cancer,0.4875
hsa_circ_0003922,Colorectal cancer,0.4865
hsa_circ_0084171,Colorectal cancer,0.4865
hsa_circ_0017247,Colorectal cancer,0.4864
hsa_circ_0023858,Colorectal cancer,0.4838
hsa_circ_0008583,Colorectal cancer,0.4837
hsa_circ_0014879,Colorectal cancer,0.4831
circ_0000231,Colorectal cancer,0.4825
hsa_circ_0068367,Colorectal cancer,0.4822
hsa_circ_0130810,Colorectal cancer,0.4817
hsa_circ_0002453,Colorectal cancer,0.4816
hsa_circ_0128298,Colorectal cancer,0.4816
hsa_circ_0031258,Colorectal cancer,0.4813
hsa_circ_0005785,Colorectal cancer,0.4811
hsa_circ_0013549,Colorectal cancer,0.4806
hsa_circ_0077425,Colorectal cancer,0.4804
hsa_circ_0000038,Colorectal cancer,0.4804
hsa_circ_0016760,Colorectal cancer,0.4796
hsa_circ_0043256,Colorectal cancer,0.479
hsa_circ_0005654,Colorectal cancer,0.4789
hsa_circ_0041731,Colorectal cancer,0.4783
hsa_circ_0062982,Colorectal cancer,0.4776
hsa_circ_0068458,Colorectal cancer,0.4775
hsa_circ_0000219,Colorectal cancer,0.4766
circ_0001368,Colorectal cancer,0.4764
hsa_circ_0005931,Colorectal cancer,0.4763
hsa_circ_0002968,Colorectal cancer,0.4759
hsa_circ_0051079,Colorectal cancer,0.4758
hsa_circ_0000211,Colorectal cancer,0.4756
hsa_circ_0001776,Colorectal cancer,0.4756
hsa_circ_0050581,Colorectal cancer,0.4749
hsa_circ_0008514,Colorectal cancer,0.4746
hsa_circ_0017311,Colorectal cancer,0.4745
hsa_circ_0000907,Colorectal cancer,0.4744
hsa_circ_0007750,Colorectal cancer,0.4741
hsa_circ_0061868,Colorectal cancer,0.4738
hsa_circ_0065149,Colorectal cancer,0.4736
hsa_circ_0087784,Colorectal cancer,0.4735
hsa_circ_0104345,Colorectal cancer,0.4733
hsa_circ_0092012,Colorectal cancer,0.4731
hsa_circ_0029696,Colorectal cancer,0.4729
hsa_circ_0004674,Colorectal cancer,0.4728
hsa_circ_0020732,Colorectal cancer,0.4724
hsa_circ_0007144,Colorectal cancer,0.472
hsa_circ_0003141,Colorectal cancer,0.4716
hsa_circ_0002082,Colorectal cancer,0.4716
hsa_circ_0102888,Colorectal cancer,0.4716
hsa_circ_0005320,Colorectal cancer,0.4716
hsa_circ_0085131,Colorectal cancer,0.4711
hsa_circ_0004018,Colorectal cancer,0.4706
hsa_circ_0092303,Colorectal cancer,0.4706
hsa_circ_0006916,Colorectal cancer,0.4702
hsa_circ_0086720,Colorectal cancer,0.4701
hsa_circ_0002483,Colorectal cancer,0.4699
hsa_circ_0077736,Colorectal cancer,0.4698
hsa_circ_0004873,Colorectal cancer,0.4695
hsa_circ_0001165,Colorectal cancer,0.4695
hsa_circ_0088030,Colorectal cancer,0.4693
hsa_circ_0035944,Colorectal cancer,0.4692
hsa_circ_0017650,Colorectal cancer,0.4691
circ_0017247,Colorectal cancer,0.4691
hsa_circ_0138896,Colorectal cancer,0.4688
hsa_circ_0000620,Colorectal cancer,0.4688
hsa_circ_0003731,Colorectal cancer,0.4686
circ_0000043,Colorectal cancer,0.4684
hsa_circ_0127245,Colorectal cancer,0.4684
hsa_circ_0008362,Colorectal cancer,0.4682
hsa_circ_0008003,Colorectal cancer,0.4682
hsa_circ_0092220,Colorectal cancer,0.468
hsa_circ_0007031,Colorectal cancer,0.4679
hsa_circ_0001879,Colorectal cancer,0.4676
hsa_circ_0032821,Colorectal cancer,0.4676
hsa_circ_0058357,Colorectal cancer,0.4673
hsa_circ_0036722,Colorectal cancer,0.4671
hsa_circ_0014717,Colorectal cancer,0.467
hsa_circ_0053919,Colorectal cancer,0.4669
hsa_circ_0068459,Colorectal cancer,0.4668
hsa_circ_0000426,Colorectal cancer,0.4666
hsa_circ_0004840,Colorectal cancer,0.4664
hsa_circ_0084720,Colorectal cancer,0.4662
hsa_circ_0007013,Colorectal cancer,0.4656
hsa_circ_0001944,Colorectal cancer,0.4656
hsa_circ_0067835,Colorectal cancer,0.4656
hsa_circ_0051778,Colorectal cancer,0.465
hsa_circ_0002060,Colorectal cancer,0.4645
hsa_circ_0000745,Colorectal cancer,0.4641
hsa_circ_0089231,Colorectal cancer,0.4638
hsa_circ_0002260,Colorectal cancer,0.4638
circ_0014717,Colorectal cancer,0.4636
hsa_circ_0006318,Colorectal cancer,0.4635
hsa_circ_0003707,Colorectal cancer,0.4634
hsa_circ_0006528,Colorectal cancer,0.4632
hsa_circ_0001979,Colorectal cancer,0.4631
hsa_circ_0008932,Colorectal cancer,0.463
hsa_circ_0074169,Colorectal cancer,0.4629
hsa_circ_0072387,Colorectal cancer,0.4628
hsa_circ_0087198,Colorectal cancer,0.4628
hsa_circ_0062558,Colorectal cancer,0.4626
hsa_circ_0097271,Colorectal cancer,0.4626
hsa_circ_0001189,Colorectal cancer,0.4626
hsa_circ_0051172,Colorectal cancer,0.4623
hsa_circ_0003159,Colorectal cancer,0.4621
hsa_circ_0009112,Colorectal cancer,0.4616
hsa_circ_0004913,Colorectal cancer,0.4613
hsa_circ_0002375,Colorectal cancer,0.4611
hsa_circ_0103552,Colorectal cancer,0.4611
hsa_circ_0068033,Colorectal cancer,0.461
hsa_circ_0001866,Colorectal cancer,0.461
hsa_circ_006100,Colorectal cancer,0.4607
hsa_circ_0076704,Colorectal cancer,0.4605
hsa_circ_0012152,Colorectal cancer,0.4603
hsa_circ_0018764,Colorectal cancer,0.46
hsa_circ_0008675,Colorectal cancer,0.46
hsa_circ_0011058,Colorectal cancer,0.4599
hsa_circ_0082689,Colorectal cancer,0.4599
hsa_circ_0008529,Colorectal cancer,0.4597
ITCH,Colorectal cancer,0.4592
hsa_circ_0048607,Colorectal cancer,0.4589
hsa_circ_0061825,Colorectal cancer,0.4587
hsa_circ_0000994,Colorectal cancer,0.4586
hsa_circ_0064996,Colorectal cancer,0.4585
hsa_circ_0000263,Colorectal cancer,0.4581
hsa_circ_0137606,Colorectal cancer,0.458
hsa_circ_0001451,Colorectal cancer,0.4579
hsa_circ_0002024,Colorectal cancer,0.4577
hsa_circ_0084003,Colorectal cancer,0.4576
hsa_circ_0079278,Colorectal cancer,0.4573
hsa_circ_0091742,Colorectal cancer,0.457
hsa_circ_0035483,Colorectal cancer,0.4569
hsa_circ_0103771,Colorectal cancer,0.4567
circ_0091579,Colorectal cancer,0.4567
hsa_circ_0002211,Colorectal cancer,0.4565
hsa_circ_0001982,Colorectal cancer,0.4564
hsa_circ_0133159,Colorectal cancer,0.4563
hsa_circ_0002874,Colorectal cancer,0.4562
hsa_circ_0007445,Colorectal cancer,0.4562
hsa_circ_0004350,Colorectal cancer,0.4557
hsa_circ_0005198,Colorectal cancer,0.4557
hsa_circ_0063411,Colorectal cancer,0.4555
hsa_circ_0000657,Colorectal cancer,0.4554
hsa_circ_0017068,Colorectal cancer,0.4552
hsa_circ_0084663,Colorectal cancer,0.455
hsa_circ_0066779,Colorectal cancer,0.4549
hsa_circ_0080210,Colorectal cancer,0.4549
hsa_circ_0132246,Colorectal cancer,0.4548
hsa_circ_0005394,Colorectal cancer,0.4544
hsa_circ_0001264,Colorectal cancer,0.4543
hsa_circ_0005218,Colorectal cancer,0.4542
hsa_circ_0124644,Colorectal cancer,0.454
hsa_circ_0078738,Colorectal cancer,0.4539
hsa_circ_0097636,Colorectal cancer,0.4535
hsa_circ_0001421,Colorectal cancer,0.4534
circ_0008928,Colorectal cancer,0.4533
hsa_circ_0001785,Colorectal cancer,0.4533
hsa_circ_0007158,Colorectal cancer,0.4529
hsa_circ_0000370,Colorectal cancer,0.4529
hsa_circ_0071375,Colorectal cancer,0.4528
hsa_circ_0081146,Colorectal cancer,0.452
hsa_circ_0040039,Colorectal cancer,0.452
circ_0002483,Colorectal cancer,0.4519
hsa_circ_0005875,Colorectal cancer,0.4519
hsa_circ_0006054,Colorectal cancer,0.4518
hsa_circ_0048677,Colorectal cancer,0.4517
hsa_circ_0008928,Colorectal cancer,0.4513
hsa_circ_0008297,Colorectal cancer,0.4513
hsa_circ_0006404,Colorectal cancer,0.4511
hsa_circ_0012384,Colorectal cancer,0.4511
hsa_circ_0060467,Colorectal cancer,0.451
hsa_circ_0006022,Colorectal cancer,0.4505
hsa_circ_0049027,Colorectal cancer,0.4503
hsa_circ_0064923,Colorectal cancer,0.45
hsa_circ_0119873,Colorectal cancer,0.4498
hsa_circ_0139897,Colorectal cancer,0.4498
hsa_circ_0008507,Colorectal cancer,0.4498
hsa_circ_0065214,Colorectal cancer,0.4497
hsa_circ_0061276,Colorectal cancer,0.4497
hsa_circ_0023028,Colorectal cancer,0.4495
hsa_circ_0069718,Colorectal cancer,0.4494
hsa_circ_0005046,Colorectal cancer,0.4493
hsa_circ_0016347,Colorectal cancer,0.4491
hsa_circ_0001971,Colorectal cancer,0.449
hsa_circ_0001095,Colorectal cancer,0.449
hsa_circ_0006101,Colorectal cancer,0.4488
hsa_circ_0004339,Colorectal cancer,0.4484
hsa_circ_0018665,Colorectal cancer,0.4484
hsa_circ_0005015,Colorectal cancer,0.4481
hsa_circ_0079586,Colorectal cancer,0.4481
hsa_circ_009503,Colorectal cancer,0.448
hsa_circ_0005100,Colorectal cancer,0.4479
hsa_circ_0067735,Colorectal cancer,0.4477
hsa_circ_0033351,Colorectal cancer,0.4477
hsa_circ_0002632,Colorectal cancer,0.4474
hsa_circ_0025202,Colorectal cancer,0.4474
hsa_circ_0088227,Colorectal cancer,0.4472
hsa_circ_0133622,Colorectal cancer,0.4472
hsa_circ_0008345,Colorectal cancer,0.4472
hsa_circ_0001610,Colorectal cancer,0.4471
hsa_circ_0075001,Colorectal cancer,0.447
hsa_circ_0000117,Colorectal cancer,0.4466
hsa_circ_0044226,Colorectal cancer,0.4464
circ_0008450,Colorectal cancer,0.4462
hsa_circ_0032704,Colorectal cancer,0.4462
hsa_circ_0001546,Colorectal cancer,0.4461
hsa_circ_0006867,Colorectal cancer,0.4459
circ_0001649,Colorectal cancer,0.4458
hsa_circ_0005567,Colorectal cancer,0.4458
hsa_circ_0125597,Colorectal cancer,0.4454
hsa_circ_0015288,Colorectal cancer,0.4451
hsa_circ_0103809,Colorectal cancer,0.4451
hsa_circ_0003694,Colorectal cancer,0.4447
hsa_circ_0008285,Colorectal cancer,0.4446
hsa_circ_0067745,Colorectal cancer,0.4445
hsa_circ_0000467,Colorectal cancer,0.4445
hsa_circ_0008365,Colorectal cancer,0.4442
hsa_circ_0054660,Colorectal cancer,0.4441
hsa_circ_0001615,Colorectal cancer,0.4441
hsa_circ_0015756,Colorectal cancer,0.4441
hsa_circ_0139996,Colorectal cancer,0.4439
hsa_circ_0004916,Colorectal cancer,0.4439
circ_0008305,Colorectal cancer,0.4439
hsa_circ_0057576,Colorectal cancer,0.4438
hsa_circ_0043145,Colorectal cancer,0.4436
hsa_circ_0004058,Colorectal cancer,0.4433
hsa_circ_0014350,Colorectal cancer,0.4431
hsa_circ_0067582,Colorectal cancer,0.4429
circ_0001971,Colorectal cancer,0.4429
hsa_circ_0042666,Colorectal cancer,0.4428
hsa_circ_0000234,Colorectal cancer,0.4425
hsa_circ_0001001,Colorectal cancer,0.4421
hsa_circ_0105015,Colorectal cancer,0.442
hsa_circ_0002111,Colorectal cancer,0.4417
hsa_circ_0015326,Colorectal cancer,0.4417
hsa_circ_0032148,Colorectal cancer,0.4417
hsa_circ_0007609,Colorectal cancer,0.4416
hsa_circ_0005962,Colorectal cancer,0.4414
hsa_circ_0136666,Colorectal cancer,0.4414
hsa_circ_0007762,Colorectal cancer,0.4414
hsa_circ_0006848,Colorectal cancer,0.4413
hsa_circ_0008945,Colorectal cancer,0.4409
hsa_circ_0008225,Colorectal cancer,0.4408
hsa_circ_0075005,Colorectal cancer,0.4405
hsa_circ_0022812,Colorectal cancer,0.4402
hsa_circ_0072359,Colorectal cancer,0.44
hsa_circ_0007556,Colorectal cancer,0.4397
hsa_circ_0003119,Colorectal cancer,0.4397
hsa_circ_0003573,Colorectal cancer,0.4393
hsa_circ_0088452,Colorectal cancer,0.439
circ_0005576,Colorectal cancer,0.4389
hsa_circ_0092857,Colorectal cancer,0.4387
hsa_circ_0000737,Colorectal cancer,0.4386
hsa_circ_0058147,Colorectal cancer,0.4386
hsa_circ_0058230,Colorectal cancer,0.4383
hsa_circ_0001439,Colorectal cancer,0.4382
hsa_circ_0057762,Colorectal cancer,0.4381
hsa_circ_0104204,Colorectal cancer,0.4381
hsa_circ_0074362,Colorectal cancer,0.438
hsa_circ_0001103,Colorectal cancer,0.438
hsa_circ_0061351,Colorectal cancer,0.4379
hsa_circ_0005927,Colorectal cancer,0.4379
hsa_circ_0026134,Colorectal cancer,0.4377
hsa_circ_0099999,Colorectal cancer,0.4376
hsa_circ_0026372,Colorectal cancer,0.4375
hsa_circ_0000396,Colorectal cancer,0.4374
